#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
130|MOSFIRE         |spec|ir         |Keck1             |http://www2.keck.hawaii.edu/inst/mosfire/                                                                           |                                                                                                                                                                                        |2014-03-04   |ofer       
131|SCORPIO         |both|optical+nir|BTA-6             |http://www.sao.ru/hq/lon/SCORPIO/scorpio.html                                                                       |Spectral Camera with Optical Reducer for Photometrical and Interferometrical Observations                                                                                               |2014-03-05   |ofer       
132|B&C-MSO         |spec|optical    |MSO-74in          |                                                                                                                    |                                                                                                                                                                                        |2014-03-16   |ilanm      
133|GCS             |spec|optical    |GAO-0.65m         |http://www.ir.isas.jaxa.jp/SPICA/WS/200906/proc/SPICA2_noritakahashi.pdf                                            |                                                                                                                                                                                        |2014-06-19   |ilanm      
134|SARG            |spec|optical    |TNG               |http://www.tng.iac.es/instruments/sarg/                                                                             |                                                                                                                                                                                        |2014-07-15   |ilanm      
135|modspec         |spec|optical    |MDM-2.4           |http://mdm.kpno.noao.edu/Manuals/ModSpec/modspec_man.html                                                           |                                                                                                                                                                                        |2014-08-24   |ilanm      
136|SOAR-OSIRIS     |both|ir         |SOAR              |http://www.soartelescope.org/observing/osiris                                                                       |                                                                                                                                                                                        |2014-11-11   |admin      
137|MagE            |spec|optical    |Magellan-Baade    |http://www.lco.cl/telescopes-information/magellan/instruments/mage/the-mage-spectrograph-user-manual                |                                                                                                                                                                                        |2016-04-10   |ofer       
138|HOWPol          |both|optical    |Kanata            |http://hasc.hiroshima-u.ac.jp/instruments/howpol/                                                                   |Hiroshima One-shot Wide-field Polarimeter                                                                                                                                               |2014-09-07   |ofer       
139|KOOLS           |both|optical    |OAO-188           |http://www.oao.nao.ac.jp/~kools/                                                                                    |Kyoto Okayama Optical Low-dispersion Spectrograph                                                                                                                                       |2014-09-09   |ofer       
140|SDSS I-II Spec  |spec|optical    |Sloan             |http://www.sdss2.org/dr7/instruments/spectrographs/index.html                                                       |SDSS-I and SDSS-II Spectrographs                                                                                                                                                        |2014-11-19   |ofer       
141|APO-TSPEC       |spec|ir         |APO 3.5m          |http://www.apo.nmsu.edu/arc35m/Instruments/TRIPLESPEC/                                                              |TripleSPEC                                                                                                                                                                              |2015-03-29   |ofer       
142|LOSA / F2       |both|optical    |KAO               |                                                                                                                    |                                                                                                                                                                                        |2015-05-17   |ilanm      
143|Deveny+LMI      |both|optical    |DCT               |http://lowell.edu/research/research-facilities/4-3-meter-dct/the-deveny-spectrograph/                               |                                                                                                                                                                                        |2015-09-09   |ofer       
144|TRES            |spec|optical+nir|FLWO 1.5m         |http://www.sao.arizona.edu/FLWO/60/tres.html                                                                        |                                                                                                                                                                                        |2015-08-05   |ilanm      
145|HERMES          |spec|optical+nir|Mercator Telescope|http://hermes.ster.kuleuven.be/                                                                                     |                                                                                                                                                                                        |2015-08-05   |ilanm      
146|Plaskett        |spec|optical    |Plaskett Telescope|                                                                                                                    |                                                                                                                                                                                        |2015-08-05   |ilanm      
147|HARPS-N         |spec|optical    |TNG               |http://www.tng.iac.es/instruments/harps/                                                                            |                                                                                                                                                                                        |2015-08-05   |ilanm      
148|UVES            |spec|uv+optical |VLT-UT2           |http://www.eso.org/sci/facilities/paranal/instruments/uves.html                                                     |                                                                                                                                                                                        |2015-08-05   |ilanm      
149|SED-Machine     |both|optical    |P60               |http://www.astro.caltech.edu/palomar/60inch.html                                                                    |                                                                                                                                                                                        |2015-09-06   |ofer       
150|OSMOS           |both|optical    |MDM-2.4           |http://www.astronomy.ohio-state.edu/~martini/osmos/                                                                 |                                                                                                                                                                                        |2015-10-06   |ilanm      
151|Boller & Chivens|spec|optical    |Magellan-Baade    |                                                                                                                    |Decommissioned                                                                                                                                                                          |2015-10-18   |ilanm      
152|SM-WFCam        |phot|Other      |SkyMapper 1.35m   |http://rsaa.anu.edu.au/observatories/instruments/skymapper-instrument                                               |SkyMapper Wide-field camera                                                                                                                                                             |2015-12-22   |ofer       
153|Brutus          |phot|optical    |ASASSN-1          |http://www.astronomy.ohio-state.edu/~assassin/index.shtml                                                           |                                                                                                                                                                                        |2015-12-31   |ofer       
154|Cassius         |phot|optical    |ASASSN-2          |http://www.astronomy.ohio-state.edu/~assassin/index.shtml                                                           |                                                                                                                                                                                        |2015-12-31   |ofer       
155|GPC1            |phot|optical    |PS1               |http://pan-starrs.ifa.hawaii.edu/public/design-features/cameras.html                                                |                                                                                                                                                                                        |2016-01-05   |ofer       
156|SPRAT           |spec|optical    |LT                |http://telescope.livjm.ac.uk/TelInst/Inst/SPRAT/                                                                    |SPectrograph for the Rapid Acquisition of Transients                                                                                                                                    |2016-01-12   |ofer       
157|RGO             |spec|optical+nir|AAT               |https://www.aao.gov.au/science/instruments/decommissioned/royal-greenwich-observatory-spectrograph                  |Decommissioned                                                                                                                                                                          |2016-01-24   |ilanm      
158|QUEST           |phot|optical    |ESO-1m            |https://www.eso.org/sci/publications/messenger/archive/no.150-dec12/messenger-no150-34-38.pdf                       |The ESO 1m Schmidt QUEST camera                                                                                                                                                         |2016-01-29   |ofer       
159|ACAM1           |phot|optical    |ATLAS1            |http://www.fallingstar.com                                                                                          |                                                                                                                                                                                        |2016-02-11   |ofer       
160|ACAM2           |phot|optical    |ATLAS2            |http://www.fallingstar.com                                                                                          |                                                                                                                                                                                        |2016-02-11   |ofer       
161|STA1600         |phot|optical    |CNEOST            |http://www.cneost.org/ptss2/index.php                                                                               |10K CCD                                                                                                                                                                                 |2016-03-13   |ofer       
162|Gaia-astrometric|phot|optical    |Gaia              |http://www.cosmos.esa.int/web/gaia/astrometric-instrument                                                           |62 CCDs with a white-light passband (Gaia G-band)                                                                                                                                       |2016-03-19   |ofer       
163|Gaia-photometric|both|optical+nir|Gaia              |http://www.cosmos.esa.int/web/gaia/photometric-instrument                                                           |two low resolution fused-silica prism spectrographs BP: 330-680nm, RP: 640-1050nm                                                                                                       |2016-03-19   |ofer       
164|Gaia-RVS        |spec|optical+nir|Gaia              |http://www.cosmos.esa.int/web/gaia/Radial-Velocity-Spectrometer                                                     |NIR Radial Velocity Spectrometer for brighter stars 845-872 nm at R~11500                                                                                                               |2016-03-19   |ofer       
165|Mt. Abu-NICS    |both|optical+nir|Mt. Abu           |http://www.ncra.tifr.res.in:8081/~basi/ASICS_1/211-anandarao.pdf                                                    |                                                                                                                                                                                        |2016-03-20   |ilanm      
166|GNIRS           |spec|optical+nir|Gemini-N          |https://www.gemini.edu/sciops/instruments/gnirs/spectroscopy                                                        |                                                                                                                                                                                        |2016-03-20   |ilanm      
167|BATC            |phot|optical    |BAO-0.6m          |http://batc.bao.ac.cn/c-index.htm                                                                                   |4K X 4K CCD                                                                                                                                                                             |2016-04-19   |ofer       
168|VIMOS           |both|optical    |VLT-UT3           |http://www.eso.org/sci/facilities/paranal/instruments/vimos.html                                                    |                                                                                                                                                                                        |2016-04-21   |ilanm      
169|AST3-Cam        |phot|optical    |AST3              |                                                                                                                    |10kx10k CCD                                                                                                                                                                             |2016-05-12   |ofer       
170|TIFKAM          |both|ir         |MDM-2.4           |http://www.astronomy.ohio-state.edu/MDM/TIFKAM/                                                                     |                                                                                                                                                                                        |2016-06-21   |ilanm      
