# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Geneva, Switzerland                     ;  46 14  0 N   ;  06  6  0 E   ;  -1.0
Grand Junction, Colorado                ;  39  4  6 N   ; 108 33 54 W   ;1399.0
Grand Rapids, Michigan                  ;  42 58  3 N   ;  85 40 13 W   ; 185.9
Great Falls, Montana                    ;  47 29 33 N   ; 111 18 23 W   ;1018.0
Green Bay, Wisconsin                    ;  44 30 48 N   ;  88  0 50 W   ; 179.8
Greensboro, North Carolina              ;  36  4 17 N   ;  79 47 25 W   ; 255.7
Greenville, South Carolina              ;  34 50 50 N   ;  82 24  1 W   ; 294.4
Greenwich, England                      ;  51 30  0 N   ;  00  0  0 W   ;  74.7
Groton, New York                        ;  42 35 26 N   ;  72 33 20 W   ; 250.0
Guatemala City, Guatemala               ;  14 38  0 N   ;  90 22  0 W   ;  -1.0
Gulfport, Mississippi                   ;  30 22  4 N   ;  89  5 36 W   ;   6.1
Halifax Nova Scotia, Canada             ;  44 38 55 N   ;  63 34 25 W   ;  -1.0
Hamburg, Germany                        ;  53 36  0 N   ;  09 56  0 E   ;  -1.0
Hamilton, Ohio                          ;  39 23 59 N   ;  84 33 47 W   ; 182.9
Hannover, Germany                       ;  52 22 48 N   ;  09 42 40 E   ;  50.0
Harare, Zimbabwe                        ;  17 50  0 S   ;  31  3  0 E   ;  -1.0
Harrisburg, Pennsylvania                ;  40 15 43 N   ;  76 52 59 W   ; 111.3
Hartford, Connecticut                   ;  41 46 12 N   ;  72 40 49 W   ;  12.2
Helena, Montana                         ;  46 35 33 N   ; 112  2 24 W   ;1266.4
Helsinki, Finland                       ;  60 10  0 N   ;  24 50  0 E   ;  -1.0
Hobart Tas, Australia                   ;  42 50  0 S   ; 147 20  0 E   ;  -1.0
