Air.KAO         Kuiper Airborne Observatory 
Sa.PVO          PVO, Pioneer Venus Orbiter 
Sa.RHESSI       RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager satellite
Sa.ROSAT        ROSAT, ROentgen Satellite 
Sa.RXTE         RXTE, Rossi X-ray Timing Explorer
Sa.SAMPEX       SAMPEX, Solar Anomalous and Magnetospheric Particle EXplorer
Sa.SAS2         Small Astronomy Satellite 2 
Sa.SAS3         Small Astronomy Satellite 3 
Sa.SMM          SMM, Solar Maximum Mission satellite
Sa.SOHO         SOHO, SOlar Heliospheric Observatory satellite 
Sa.SPITZER      Spitzer Space Telescope (aka SIRTF)
Sa.SROSS        SROSS, Stretched ROhini Satellite Series
Sa.SWAN         SWAN, Solar Wind Anisotropy Experiment satellite 
Sa.SWAS         SWAS, Submillimeter Wave Astronomy Satellite 
Sa.SWIFT        SWIFT, Multi-wavelength Observatory
Sa.TENMA        Tenma, second Japanese Xray satellite 
Sa.UHURU        Uhuru, Small Astronomical Satellite 1 
Sa.ULYSSES      Ulysses satellite 
Sa.VELA         Vela nuclear test detection satellites 
Sa.VOYAGER1     Voyager I satellite 
Sa.VOYAGER2     Voyager II satellite 
Sa.WIND         Wind satellite 
Sa.WMAP         Wilkinson Microwave Background Anisotropy Probe
Sa.XMM          XMM-Newton, X-Ray Multimirror Mission Newton satellite 
Sa.YOHKOH       Yohkoh, Japanese-US Gamma and X-ray solar satellite 
SAAO.0.5m       South African Astronomical Observatory/0.5 meter Telescope 
SAAO.0.75m      South African Astronomical Observatory/0.75 meter Telescope
SAAO.ET         South African Astronomical Observatory/Elizabeth Telescope
SAAO.RT         South African Astronomical Observatory/Radcliffe Telescope
SAO.BTA         Special Astrophysical Observatory/Bolshoi Azimuthal Telescope
SAO.RATAN       Special Astrophysical Observatory/RATAN, Radio Telescope of the Acadamey of Sciences 
Sh.BBXRT        BBXRT, Broad-Band X-Ray Telescope 
Sh.DXS          DXS, Diffuse X-ray Spectrometer 
